"bird_ID","logger_id_meb","IS_setting","wind_setting","Datetime_deployed_LOC","Datetime_recovered_LOC","GPS_resolution_min","Accelero_resolution_hz","Magneto_resolution_hz","Wind_resolution_seconds","IS_resolution"
"BS20489","ID101_1_IS_FU4","yes","no",2020-02-04 09:56:00,2020-02-15 08:37:00,10,10,1,"disabled","1hr_5min"
"BS20532","ID111_1_wind_FK1","no","yes",2020-02-06 11:20:00,2020-02-12 08:50:00,15,10,1,"5","1hr_1min"
"BS28234","ID107_1_IS_EX9","yes","no",2020-02-07 08:22:00,2020-02-27 09:58:00,10,10,1,"disabled","1hr_5min"
"BS12468","ID116_1_wind_EK3","no","yes",2020-02-07 08:35:00,2020-02-27 10:11:00,15,10,1,"5","1hr_1min"
"BS28321","ID103_1_wind_NT0","no","yes",2020-02-07 09:07:00,2020-02-22 09:25:00,15,10,1,"5","1hr_1min"
"BS28270","","no","yes",2020-02-07 10:23:00,2020-02-15 15:20:00,15,10,1,"5","1hr_1min"
"BS25400","","yes","no",2020-02-07 14:45:00,2020-02-13 17:50:00,10,10,1,"disabled","1hr_5min"
"BS25152","ID121_1_IS_BC4","yes","no",2020-02-08 08:53:00,2020-02-15 08:52:00,10,10,1,"disabled","1hr_5min"
"BS19850","","yes","no",2020-02-08 10:34:00,2020-02-14 17:34:00,10,10,1,"disabled","1hr_5min"
"BS30432","","yes","no",2020-02-08 12:38:00,2020-02-24 08:55:00,10,10,1,"disabled","1hr_5min"
"BS19477","ID112_2_wind_U92","no","yes",2020-02-08 14:18:00,2020-02-22 11:31:00,15,10,1,"5","1hr_1min"
"BS28293","ID122_1_IS_K81","yes","no",2020-02-08 17:39:00,2020-02-15 14:33:00,10,10,1,"disabled","1hr_5min"
"BS28726","","yes","no",2020-02-09 09:28:00,2020-02-25 14:24:00,10,10,1,"disabled","1hr_5min"
"BS26550","","no","yes",2020-02-09 09:47:00,2020-02-15 18:15:00,15,10,1,"5","1hr_1min"
"BS28665","ID108_1_IS_JA3","yes","no",2020-02-13 10:50:00,2020-02-22 17:27:00,10,10,1,"disabled","1hr_5min"
"BS29824","ID110_1_IS_JD1","yes","no",2020-02-13 11:14:00,2020-03-11 09:54:00,10,10,1,"disabled","1hr_5min"
"BS25493","ID101_2_IS_BC1","yes","no",2020-02-16 08:50:00,2020-03-04 12:18:00,10,10,1,"disabled","1hr_5min"
"BS11625","","yes","no",2020-02-17 10:21:00,2020-02-27 10:21:00,10,10,1,"disabled","1hr_5min"
"BS21148","","yes","no",2020-02-17 13:34:00,2020-03-09 18:16:00,10,10,1,"disabled","1hr_5min"
"BS25404","ID110_1_IS_BY7","yes","no",2020-01-18 17:13:00,2020-02-11 15:08:00,10,10,1,"disabled","1hr_5min"
"BS20220","ID112_1_IS_BV2","yes","no",2020-01-19 11:25:00,2020-02-03 10:31:00,10,10,1,"disabled","1hr_5min"
"BS20501","ID111_2_IS_DT5","yes","no",2020-02-19 08:53:00,2020-03-07 08:18:00,10,10,1,"disabled","1hr_5min"
"BS30244","","yes","no",2020-01-20 09:04:00,2020-02-24 09:15:00,10,10,1,"disabled","1hr_5min"
"BS19891","ID122_1_wind_BR3","no","yes",2020-01-22 10:50:00,2020-01-31 16:29:00,10,10,1,"5","1hr_5min"
"BS25424","ID108_1_wind_B64","no","yes",2020-01-23 09:11:00,2020-02-04 10:32:00,10,10,1,"5","1hr_5min"
"BS28196","ID103_1_wind_W38","no","yes",2020-02-24 13:41:00,2020-03-05 11:25:00,15,10,1,"5","1hr_1min"
